;exp_id;timeline;Behavior;pb_type;alone;indiv;duration;diff;perc_diff;dim;mod
69;20230315_n376_nbg_1;playback;Basking;nbg;alone;10478;7,306;-6,16;-0,457448389;0;1
70;20230315_n376_nbg_1;playback;Exploration;nbg;alone;10478;26,03;-20,504;-0,44062406;0;1
71;20230315_n376_nbg_1;playback;Nest;nbg;alone;10478;26,163;26,163;1;1;3
72;20230315_n376_nbg_1;playback;Vigilance;nbg;alone;10478;NA;NA;NA;NA;NA
73;20230310_n376_nbg_1;after;Basking;nbg;not_alone;10478;14,512;-10,45;-0,418636327;0;1
74;20230310_n376_nbg_1;after;Exploration;nbg;not_alone;10478;2,615;2,615;1;1;3
75;20230310_n376_nbg_1;after;Nest;nbg;not_alone;10478;0;-34,788;-1;0;1
76;20230310_n376_nbg_1;after;Vigilance;nbg;not_alone;10478;41,294;41,294;1;1;3
77;20230310_n376_nbg_1;before;Basking;nbg;not_alone;10478;24,962;0;0;0;2
78;20230310_n376_nbg_1;before;Exploration;nbg;not_alone;10478;0;0;0;0;2
79;20230310_n376_nbg_1;before;Nest;nbg;not_alone;10478;34,788;0;0;0;2
80;20230310_n376_nbg_1;before;Vigilance;nbg;not_alone;10478;0;0;0;0;2
81;20230310_n376_nbg_1;playback;Basking;nbg;not_alone;10478;6,316;-18,646;-0,746975403;0;1
82;20230310_n376_nbg_1;playback;Exploration;nbg;not_alone;10478;2,134;2,134;1;1;3
83;20230310_n376_nbg_1;playback;Nest;nbg;not_alone;10478;0;-34,788;-1;0;1
84;20230310_n376_nbg_1;playback;Vigilance;nbg;not_alone;10478;51,55;51,55;1;1;3
85;20230310_n376_nbg_5;after;Basking;nbg;not_alone;10478;0;-60;-1;0;1
86;20230310_n376_nbg_5;after;Exploration;nbg;not_alone;10478;0;0;0;0;2
87;20230310_n376_nbg_5;after;Nest;nbg;not_alone;10478;60,169;60,169;1;1;3
88;20230310_n376_nbg_5;after;Vigilance;nbg;not_alone;10478;0;0;0;0;2
89;20230310_n376_nbg_5;before;Basking;nbg;not_alone;10478;60;0;0;0;2
90;20230310_n376_nbg_5;before;Exploration;nbg;not_alone;10478;0;0;0;0;2
91;20230310_n376_nbg_5;before;Nest;nbg;not_alone;10478;0;0;0;0;2
92;20230310_n376_nbg_5;before;Vigilance;nbg;not_alone;10478;0;0;0;0;2
93;20230310_n376_nbg_5;playback;Basking;nbg;not_alone;10478;27,815;-32,185;-0,536416667;0;1
94;20230310_n376_nbg_5;playback;Exploration;nbg;not_alone;10478;7,004;7,004;1;1;3
95;20230310_n376_nbg_5;playback;Nest;nbg;not_alone;10478;11,144;11,144;1;1;3
96;20230310_n376_nbg_5;playback;Vigilance;nbg;not_alone;10478;6,756;6,756;1;1;3
97;20230310_n376_str_2;after;Basking;str;not_alone;10478;0;-60;-1;0;1
98;20230310_n376_str_2;after;Exploration;str;not_alone;10478;0;0;0;0;2
99;20230310_n376_str_2;after;Nest;str;not_alone;10478;59,296;59,296;1;1;3
100;20230310_n376_str_2;after;Vigilance;str;not_alone;10478;0,723;0,723;1;1;3
101;20230310_n376_str_2;before;Basking;str;not_alone;10478;60;0;0;0;2
102;20230310_n376_str_2;before;Exploration;str;not_alone;10478;0;0;0;0;2
103;20230310_n376_str_2;before;Nest;str;not_alone;10478;0;0;0;0;2
104;20230310_n376_str_2;before;Vigilance;str;not_alone;10478;0;0;0;0;2
105;20230310_n376_str_2;playback;Basking;str;not_alone;10478;8,661;-51,339;-0,85565;0;1
106;20230310_n376_str_2;playback;Exploration;str;not_alone;10478;1,755;1,755;1;1;3
107;20230310_n376_str_2;playback;Nest;str;not_alone;10478;0;0;0;0;2
108;20230310_n376_str_2;playback;Vigilance;str;not_alone;10478;49,329;49,329;1;1;3
109;20230310_n376_ctr_4;after;Basking;ctr;not_alone;10816;24,654;-35,346;-0,5891;0;1
110;20230310_n376_ctr_4;after;Exploration;ctr;not_alone;10816;NA;NA;NA;NA;NA
111;20230310_n376_ctr_4;after;Nest;ctr;not_alone;10816;NA;NA;NA;NA;NA
112;20230310_n376_ctr_4;after;Vigilance;ctr;not_alone;10816;35,249;35,249;1;1;3
113;20230310_n376_ctr_4;before;Basking;ctr;not_alone;10816;60;0;0;0;2
114;20230310_n376_ctr_4;before;Exploration;ctr;not_alone;10816;NA;NA;NA;NA;NA
115;20230310_n376_ctr_4;before;Nest;ctr;not_alone;10816;NA;NA;NA;NA;NA
116;20230310_n376_ctr_4;before;Vigilance;ctr;not_alone;10816;0;0;0;0;2
117;20230310_n376_ctr_4;playback;Basking;ctr;not_alone;10816;60;0;0;0;2
118;20230310_n376_ctr_4;playback;Exploration;ctr;not_alone;10816;NA;NA;NA;NA;NA
119;20230310_n376_ctr_4;playback;Nest;ctr;not_alone;10816;NA;NA;NA;NA;NA
120;20230310_n376_ctr_4;playback;Vigilance;ctr;not_alone;10816;0;0;0;0;2
121;20230310_n376_fam_3;after;Basking;fam;not_alone;10816;60,002;0,002;3,33E-05;1;2
122;20230310_n376_fam_3;after;Exploration;fam;not_alone;10816;NA;NA;NA;NA;NA
123;20230310_n376_fam_3;after;Nest;fam;not_alone;10816;NA;NA;NA;NA;NA
124;20230310_n376_fam_3;after;Vigilance;fam;not_alone;10816;NA;NA;NA;NA;NA
125;20230310_n376_fam_3;before;Basking;fam;not_alone;10816;60;0;0;0;2
126;20230310_n376_fam_3;before;Exploration;fam;not_alone;10816;NA;NA;NA;NA;NA
127;20230310_n376_fam_3;before;Nest;fam;not_alone;10816;NA;NA;NA;NA;NA
128;20230310_n376_fam_3;before;Vigilance;fam;not_alone;10816;NA;NA;NA;NA;NA
129;20230310_n376_fam_3;playback;Basking;fam;not_alone;10816;60;0;0;0;2
130;20230310_n376_fam_3;playback;Exploration;fam;not_alone;10816;NA;NA;NA;NA;NA
131;20230310_n376_fam_3;playback;Nest;fam;not_alone;10816;NA;NA;NA;NA;NA
132;20230310_n376_fam_3;playback;Vigilance;fam;not_alone;10816;NA;NA;NA;NA;NA
133;20230311_n66_nbg_6;after;Basking;nbg;alone;10821;60,138;16,511;0,378458294;1;3
134;20230311_n66_nbg_6;after;Exploration;nbg;alone;10821;NA;NA;NA;NA;NA
135;20230311_n66_nbg_6;after;Nest;nbg;alone;10821;0;-10,38;-1;0;1
136;20230311_n66_nbg_6;after;Vigilance;nbg;alone;10821;NA;NA;NA;NA;NA
137;20230311_n66_nbg_6;before;Basking;nbg;alone;10821;43,627;0;0;0;2
138;20230311_n66_nbg_6;before;Exploration;nbg;alone;10821;NA;NA;NA;NA;NA
139;20230311_n66_nbg_6;before;Nest;nbg;alone;10821;10,38;0;0;0;2
140;20230311_n66_nbg_6;before;Vigilance;nbg;alone;10821;NA;NA;NA;NA;NA
141;20230311_n66_nbg_6;playback;Basking;nbg;alone;10821;60;16,373;0,375295115;1;3
142;20230311_n66_nbg_6;playback;Exploration;nbg;alone;10821;NA;NA;NA;NA;NA
143;20230311_n66_nbg_6;playback;Nest;nbg;alone;10821;0;-10,38;-1;0;1
144;20230311_n66_nbg_6;playback;Vigilance;nbg;alone;10821;NA;NA;NA;NA;NA
145;20230311_n66_fam_2;after;Basking;fam;not_alone;10821;59,69;-0,31;-0,005166667;0;2
146;20230311_n66_fam_2;after;Exploration;fam;not_alone;10821;NA;NA;NA;NA;NA
147;20230311_n66_fam_2;after;Nest;fam;not_alone;10821;NA;NA;NA;NA;NA
148;20230311_n66_fam_2;after;Vigilance;fam;not_alone;10821;NA;NA;NA;NA;NA
149;20230311_n66_fam_2;before;Basking;fam;not_alone;10821;60;0;0;0;2
150;20230311_n66_fam_2;before;Exploration;fam;not_alone;10821;NA;NA;NA;NA;NA
151;20230311_n66_fam_2;before;Nest;fam;not_alone;10821;NA;NA;NA;NA;NA
152;20230311_n66_fam_2;before;Vigilance;fam;not_alone;10821;NA;NA;NA;NA;NA
153;20230311_n66_fam_2;playback;Basking;fam;not_alone;10821;60;0;0;0;2
154;20230311_n66_fam_2;playback;Exploration;fam;not_alone;10821;NA;NA;NA;NA;NA
155;20230311_n66_fam_2;playback;Nest;fam;not_alone;10821;NA;NA;NA;NA;NA
156;20230311_n66_fam_2;playback;Vigilance;fam;not_alone;10821;NA;NA;NA;NA;NA
157;20230311_n66_nbg_1;after;Basking;nbg;not_alone;10821;0;-60;-1;0;1
158;20230311_n66_nbg_1;after;Exploration;nbg;not_alone;10821;NA;NA;NA;NA;NA
159;20230311_n66_nbg_1;after;Nest;nbg;not_alone;10821;NA;NA;NA;NA;NA
160;20230311_n66_nbg_1;after;Vigilance;nbg;not_alone;10821;60,23;60,23;1;1;3
161;20230311_n66_nbg_1;before;Basking;nbg;not_alone;10821;60;0;0;0;2
162;20230311_n66_nbg_1;before;Exploration;nbg;not_alone;10821;NA;NA;NA;NA;NA
163;20230311_n66_nbg_1;before;Nest;nbg;not_alone;10821;NA;NA;NA;NA;NA
164;20230311_n66_nbg_1;before;Vigilance;nbg;not_alone;10821;0;0;0;0;2
165;20230311_n66_nbg_1;playback;Basking;nbg;not_alone;10821;38,459;-21,541;-0,359016667;0;1
166;20230311_n66_nbg_1;playback;Exploration;nbg;not_alone;10821;NA;NA;NA;NA;NA
167;20230311_n66_nbg_1;playback;Nest;nbg;not_alone;10821;NA;NA;NA;NA;NA
168;20230311_n66_nbg_1;playback;Vigilance;nbg;not_alone;10821;21,541;21,541;1;1;3
169;20230301_n66_nbg_1;after;Basking;nbg;not_alone;10838;58,525;-1,475;-0,024583333;0;2
170;20230301_n66_nbg_1;after;Exploration;nbg;not_alone;10838;NA;NA;NA;NA;NA
171;20230301_n66_nbg_1;after;Nest;nbg;not_alone;10838;NA;NA;NA;NA;NA
172;20230301_n66_nbg_1;after;Vigilance;nbg;not_alone;10838;NA;NA;NA;NA;NA
173;20230301_n66_nbg_1;before;Basking;nbg;not_alone;10838;60;0;0;0;2
174;20230301_n66_nbg_1;before;Exploration;nbg;not_alone;10838;NA;NA;NA;NA;NA
175;20230301_n66_nbg_1;before;Nest;nbg;not_alone;10838;NA;NA;NA;NA;NA
176;20230301_n66_nbg_1;before;Vigilance;nbg;not_alone;10838;NA;NA;NA;NA;NA
177;20230301_n66_nbg_1;playback;Basking;nbg;not_alone;10838;60;0;0;0;2
178;20230301_n66_nbg_1;playback;Exploration;nbg;not_alone;10838;NA;NA;NA;NA;NA
179;20230301_n66_nbg_1;playback;Nest;nbg;not_alone;10838;NA;NA;NA;NA;NA
180;20230301_n66_nbg_1;playback;Vigilance;nbg;not_alone;10838;NA;NA;NA;NA;NA
181;20230306_n66_nbg_3;after;Basking;nbg;not_alone;10843;53,901;-6,099;-0,10165;0;2
182;20230306_n66_nbg_3;after;Exploration;nbg;not_alone;10843;5,007;5,007;1;1;3
183;20230306_n66_nbg_3;after;Nest;nbg;not_alone;10843;NA;NA;NA;NA;NA
184;20230306_n66_nbg_3;after;Vigilance;nbg;not_alone;10843;0;0;0;0;2
185;20230306_n66_nbg_3;before;Basking;nbg;not_alone;10843;60;0;0;0;2
186;20230306_n66_nbg_3;before;Exploration;nbg;not_alone;10843;0;0;0;0;2
187;20230306_n66_nbg_3;before;Nest;nbg;not_alone;10843;NA;NA;NA;NA;NA
188;20230306_n66_nbg_3;before;Vigilance;nbg;not_alone;10843;0;0;0;0;2
189;20230306_n66_nbg_3;playback;Basking;nbg;not_alone;10843;45,737;-14,263;-0,237716667;0;2
190;20230306_n66_nbg_3;playback;Exploration;nbg;not_alone;10843;0,487;0,487;1;1;3
191;20230306_n66_nbg_3;playback;Nest;nbg;not_alone;10843;NA;NA;NA;NA;NA
192;20230306_n66_nbg_3;playback;Vigilance;nbg;not_alone;10843;10,262;10,262;1;1;3
193;20230314_n491_ctr_3;after;Basking;ctr;alone;10905;60;0;0;0;2
194;20230314_n491_ctr_3;after;Exploration;ctr;alone;10905;NA;NA;NA;NA;NA
195;20230314_n491_ctr_3;after;Nest;ctr;alone;10905;NA;NA;NA;NA;NA
196;20230314_n491_ctr_3;after;Vigilance;ctr;alone;10905;NA;NA;NA;NA;NA
197;20230314_n491_ctr_3;before;Basking;ctr;alone;10905;60;0;0;0;2
198;20230314_n491_ctr_3;before;Exploration;ctr;alone;10905;NA;NA;NA;NA;NA
199;20230314_n491_ctr_3;before;Nest;ctr;alone;10905;NA;NA;NA;NA;NA
200;20230314_n491_ctr_3;before;Vigilance;ctr;alone;10905;NA;NA;NA;NA;NA
201;20230314_n491_ctr_3;playback;Basking;ctr;alone;10905;60;0;0;0;2
202;20230314_n491_ctr_3;playback;Exploration;ctr;alone;10905;NA;NA;NA;NA;NA
203;20230314_n491_ctr_3;playback;Nest;ctr;alone;10905;NA;NA;NA;NA;NA
204;20230314_n491_ctr_3;playback;Vigilance;ctr;alone;10905;NA;NA;NA;NA;NA
205;20230302_n491_fam_1;after;Basking;fam;alone;10905;60,407;60,407;1;1;3
206;20230302_n491_fam_1;after;Exploration;fam;alone;10905;0;-13,251;-1;0;1
207;20230302_n491_fam_1;after;Nest;fam;alone;10905;0;-45,001;-1;0;1
208;20230302_n491_fam_1;after;Vigilance;fam;alone;10905;NA;NA;NA;NA;NA
209;20230302_n491_fam_1;before;Basking;fam;alone;10905;0;0;0;0;2
210;20230302_n491_fam_1;before;Exploration;fam;alone;10905;13,251;0;0;0;2
211;20230302_n491_fam_1;before;Nest;fam;alone;10905;45,001;0;0;0;2
212;20230302_n491_fam_1;before;Vigilance;fam;alone;10905;NA;NA;NA;NA;NA
213;20230302_n491_fam_1;playback;Basking;fam;alone;10905;55,998;55,998;1;1;3
214;20230302_n491_fam_1;playback;Exploration;fam;alone;10905;0;-13,251;-1;0;1
215;20230302_n491_fam_1;playback;Nest;fam;alone;10905;0;-45,001;-1;0;1
216;20230302_n491_fam_1;playback;Vigilance;fam;alone;10905;NA;NA;NA;NA;NA
217;20230314_n491_nbg_4;after;Basking;nbg;alone;10905;60,437;0,437;0,007283333;1;2
218;20230314_n491_nbg_4;after;Exploration;nbg;alone;10905;NA;NA;NA;NA;NA
219;20230314_n491_nbg_4;after;Nest;nbg;alone;10905;NA;NA;NA;NA;NA
220;20230314_n491_nbg_4;after;Vigilance;nbg;alone;10905;NA;NA;NA;NA;NA
221;20230314_n491_nbg_4;before;Basking;nbg;alone;10905;60;0;0;0;2
222;20230314_n491_nbg_4;before;Exploration;nbg;alone;10905;NA;NA;NA;NA;NA
223;20230314_n491_nbg_4;before;Nest;nbg;alone;10905;NA;NA;NA;NA;NA
224;20230314_n491_nbg_4;before;Vigilance;nbg;alone;10905;NA;NA;NA;NA;NA
225;20230314_n491_nbg_4;playback;Basking;nbg;alone;10905;60;0;0;0;2
226;20230314_n491_nbg_4;playback;Exploration;nbg;alone;10905;NA;NA;NA;NA;NA
227;20230314_n491_nbg_4;playback;Nest;nbg;alone;10905;NA;NA;NA;NA;NA
228;20230314_n491_nbg_4;playback;Vigilance;nbg;alone;10905;NA;NA;NA;NA;NA
229;20230302_n491_str_2;after;Basking;str;alone;10905;0;-24,247;-1;0;1
230;20230302_n491_str_2;after;Exploration;str;alone;10905;9,087;-20,165;-0,689354574;0;1
231;20230302_n491_str_2;after;Nest;str;alone;10905;NA;NA;NA;NA;NA
232;20230302_n491_str_2;after;Vigilance;str;alone;10905;49,997;49,997;1;1;3
233;20230302_n491_str_2;before;Basking;str;alone;10905;24,247;0;0;0;2
234;20230302_n491_str_2;before;Exploration;str;alone;10905;29,252;0;0;0;2
235;20230302_n491_str_2;before;Nest;str;alone;10905;NA;NA;NA;NA;NA
236;20230302_n491_str_2;before;Vigilance;str;alone;10905;0;0;0;0;2
237;20230302_n491_str_2;playback;Basking;str;alone;10905;0;-24,247;-1;0;1
238;20230302_n491_str_2;playback;Exploration;str;alone;10905;34,42;5,168;0,176671681;1;2
239;20230302_n491_str_2;playback;Nest;str;alone;10905;NA;NA;NA;NA;NA
