exp_id;pb_type;Behavior;timeline;alone;indiv;duration;diff;perc_diff;dim
20230310_n376_str_2;str;Basking;before;not_alone;10478;60;0;0;0
20230310_n376_nbg_1;nbg;Exploration;before;not_alone;10478;0;0;0;0
20230310_n376_nbg_5;nbg;Exploration;before;not_alone;10478;0;0;0;0
20230310_n376_str_2;str;Exploration;before;not_alone;10478;0;0;0;0
20230310_n376_nbg_1;nbg;Nest;before;not_alone;10478;34,788;0;0;0
20230310_n376_nbg_5;nbg;Nest;before;not_alone;10478;0;0;0;0
20230310_n376_str_2;str;Nest;before;not_alone;10478;0;0;0;0
20230310_n376_nbg_1;nbg;Vigilance;before;not_alone;10478;0;0;0;0
20230310_n376_nbg_5;nbg;Vigilance;before;not_alone;10478;0;0;0;0
20230310_n376_str_2;str;Vigilance;before;not_alone;10478;0;0;0;0
20230310_n376_nbg_1;nbg;Basking;playback;not_alone;10478;6,316;-18,646;-0,746975403;0
20230310_n376_nbg_5;nbg;Basking;playback;not_alone;10478;27,815;-32,185;-0,536416667;0
20230310_n376_str_2;str;Basking;playback;not_alone;10478;8,661;-51,339;-0,85565;0
20230310_n376_nbg_1;nbg;Exploration;playback;not_alone;10478;2,134;2,134;1;1
20230310_n376_nbg_5;nbg;Exploration;playback;not_alone;10478;7,004;7,004;1;1
20230310_n376_str_2;str;Exploration;playback;not_alone;10478;1,755;1,755;1;1
20230310_n376_nbg_1;nbg;Nest;playback;not_alone;10478;0;-34,788;-1;0
20230310_n376_nbg_5;nbg;Nest;playback;not_alone;10478;11,144;11,144;1;1
20230310_n376_str_2;str;Nest;playback;not_alone;10478;0;0;0;0
20230310_n376_nbg_1;nbg;Vigilance;playback;not_alone;10478;51,55;51,55;1;1
20230310_n376_nbg_5;nbg;Vigilance;playback;not_alone;10478;6,756;6,756;1;1
20230310_n376_str_2;str;Vigilance;playback;not_alone;10478;49,329;49,329;1;1
20230303_n376_str_3;str;Exploration;after;alone;10816;0;-7,504;-1;0
20230303_n376_str_3;str;Nest;after;alone;10816;0;-22,75;-1;0
20230303_n376_str_3;str;Vigilance;after;alone;10816;0;-20,761;-1;0
20230303_n376_str_3;str;Exploration;before;alone;10816;7,504;0;0;0
20230303_n376_str_3;str;Nest;before;alone;10816;22,75;0;0;0
20230303_n376_str_3;str;Vigilance;before;alone;10816;20,761;0;0;0
20230303_n376_str_3;str;Exploration;playback;alone;10816;0;-7,504;-1;0
20230303_n376_str_3;str;Nest;playback;alone;10816;9,511;-13,239;-0,581934066;0
20230303_n376_str_3;str;Vigilance;playback;alone;10816;0;-20,761;-1;0
20230310_n376_ctr_4;ctr;Basking;after;not_alone;10816;24,654;-35,346;-0,5891;0
20230310_n376_fam_3;fam;Basking;after;not_alone;10816;60,002;0,002;3,33E-05;1
20230310_n376_ctr_4;ctr;Vigilance;after;not_alone;10816;35,249;35,249;1;1
20230310_n376_ctr_4;ctr;Basking;before;not_alone;10816;60;0;0;0
20230310_n376_fam_3;fam;Basking;before;not_alone;10816;60;0;0;0
20230310_n376_ctr_4;ctr;Vigilance;before;not_alone;10816;0;0;0;0
20230310_n376_ctr_4;ctr;Basking;playback;not_alone;10816;60;0;0;0
20230310_n376_fam_3;fam;Basking;playback;not_alone;10816;60;0;0;0
20230310_n376_ctr_4;ctr;Vigilance;playback;not_alone;10816;0;0;0;0
20230311_n66_nbg_6;nbg;Basking;after;alone;10821;60,138;16,511;0,378458294;1
20230311_n66_nbg_6;nbg;Nest;after;alone;10821;0;-10,38;-1;0
20230311_n66_nbg_6;nbg;Basking;before;alone;10821;43,627;0;0;0
20230311_n66_nbg_6;nbg;Nest;before;alone;10821;10,38;0;0;0
20230311_n66_nbg_6;nbg;Basking;playback;alone;10821;60;16,373;0,375295115;1
20230311_n66_nbg_6;nbg;Nest;playback;alone;10821;0;-10,38;-1;0
20230311_n66_fam_2;fam;Basking;after;not_alone;10821;59,69;-0,31;-0,005166667;0
20230311_n66_nbg_1;nbg;Basking;after;not_alone;10821;0;-60;-1;0
20230306_n66_str_5;str;Basking;after;not_alone;10821;0;-14,836;-1;0
20230306_n66_str_5;str;Exploration;after;not_alone;10821;0;-4,758;-1;0
20230306_n66_str_5;str;Nest;after;not_alone;10821;60,045;20,39;0,514184844;1
20230311_n66_nbg_1;nbg;Vigilance;after;not_alone;10821;60,23;60,23;1;1
20230311_n66_fam_2;fam;Basking;before;not_alone;10821;60;0;0;0
20230311_n66_nbg_1;nbg;Basking;before;not_alone;10821;60;0;0;0
20230306_n66_str_5;str;Basking;before;not_alone;10821;14,836;0;0;0
20230306_n66_str_5;str;Exploration;before;not_alone;10821;4,758;0;0;0
20230306_n66_str_5;str;Nest;before;not_alone;10821;39,655;0;0;0
20230311_n66_nbg_1;nbg;Vigilance;before;not_alone;10821;0;0;0;0
20230311_n66_fam_2;fam;Basking;playback;not_alone;10821;60;0;0;0
20230311_n66_nbg_1;nbg;Basking;playback;not_alone;10821;38,459;-21,541;-0,359016667;0
20230306_n66_str_5;str;Basking;playback;not_alone;10821;2,427;-12,409;-0,836411432;0
20230306_n66_str_5;str;Exploration;playback;not_alone;10821;0;-4,758;-1;0
20230306_n66_str_5;str;Nest;playback;not_alone;10821;57,323;17,668;0,445542807;1
20230311_n66_nbg_1;nbg;Vigilance;playback;not_alone;10821;21,541;21,541;1;1
20230301_n66_nbg_1;nbg;Basking;after;not_alone;10838;58,525;-1,475;-0,024583333;0
20230301_n66_nbg_1;nbg;Basking;before;not_alone;10838;60;0;0;0
20230301_n66_nbg_1;nbg;Basking;playback;not_alone;10838;60;0;0;0
20230306_n66_nbg_3;nbg;Basking;after;not_alone;10843;53,901;-6,099;-0,10165;0
20230306_n66_nbg_3;nbg;Exploration;after;not_alone;10843;5,007;5,007;1;1
20230306_n66_nbg_3;nbg;Vigilance;after;not_alone;10843;0;0;0;0
20230306_n66_nbg_3;nbg;Basking;before;not_alone;10843;60;0;0;0
20230306_n66_nbg_3;nbg;Exploration;before;not_alone;10843;0;0;0;0
20230306_n66_nbg_3;nbg;Vigilance;before;not_alone;10843;0;0;0;0
20230306_n66_nbg_3;nbg;Basking;playback;not_alone;10843;45,737;-14,263;-0,237716667;0
20230306_n66_nbg_3;nbg;Exploration;playback;not_alone;10843;0,487;0,487;1;1
20230306_n66_nbg_3;nbg;Vigilance;playback;not_alone;10843;10,262;10,262;1;1
20230314_n491_ctr_3;ctr;Basking;after;alone;10905;60;0;0;0
20230302_n491_fam_1;fam;Basking;after;alone;10905;60,407;60,407;1;1
20230314_n491_nbg_4;nbg;Basking;after;alone;10905;60,437;0,437;0,007283333;1
20230302_n491_str_2;str;Basking;after;alone;10905;0;-24,247;-1;0
20230314_n491_str_2;str;Basking;after;alone;10905;0;-51,637;-1;0
