X;exp_id;timeline;Behavior;pb_type;alone;indiv;duration;diff;perc_diff;dim;mod;ZOdur;ZOdur_beta
226;20230314_n491_nbg_4;playback;Exploration;nbg;alone;10905;0;0;0;0;2;0;2.00E-16
228;20230314_n491_nbg_4;playback;Vigilance;nbg;alone;10905;0;0;0;0;2;0;2.00E-16
237;20230302_n491_str_2;playback;Basking;str;alone;10905;0;-24.247;-1;0;1;0;2.00E-16
238;20230302_n491_str_2;playback;Exploration;str;alone;10905;34.42;5.168;0.176671681;1;2;0.56916081;0.56916081
240;20230302_n491_str_2;playback;Vigilance;str;alone;10905;25.25;25.25;1;1;3;0.417527904;0.417527904
249;20230314_n491_str_2;playback;Basking;str;alone;10905;0;-51.637;-1;0;1;0;2.00E-16
250;20230314_n491_str_2;playback;Exploration;str;alone;10905;0;0;0;0;2;0;2.00E-16
252;20230314_n491_str_2;playback;Vigilance;str;alone;10905;60;52.134;1;1;3;0.992145515;0.992145515
261;20230314_n491_fam_1;playback;Basking;fam;not_alone;10905;60;43.547;1;1;3;0.992145515;0.992145515
262;20230314_n491_fam_1;playback;Exploration;fam;not_alone;10905;0;-9.01;-1;0;1;0;2.00E-16
264;20230314_n491_fam_1;playback;Vigilance;fam;not_alone;10905;0;0;0;0;2;0;2.00E-16
273;20230321_n491_nbg_4;playback;Basking;nbg;alone;10909;20.261;20.261;1;1;3;0.335031005;0.335031005
274;20230321_n491_nbg_4;playback;Exploration;nbg;alone;10909;12.477;-0.112;-0.008896656;0;2;0.20631666;0.20631666
276;20230321_n491_nbg_4;playback;Vigilance;nbg;alone;10909;14.008;14.008;1;1;3;0.231632906;0.231632906
285;20230321_n491_fam_1;playback;Basking;fam;not_alone;10909;60;0;0;0;2;0.992145515;0.992145515
286;20230321_n491_fam_1;playback;Exploration;fam;not_alone;10909;0;0;0;0;2;0;2.00E-16
288;20230321_n491_fam_1;playback;Vigilance;fam;not_alone;10909;0;0;0;0;2;0;2.00E-16
297;20230309_n491_str_5;playback;Basking;str;not_alone;10909;9.456;-5.346;-0.36116741;0;1;0.156362133;0.156362133
298;20230309_n491_str_5;playback;Exploration;str;not_alone;10909;0;-11.659;-1;0;1;0;2.00E-16
300;20230309_n491_str_5;playback;Vigilance;str;not_alone;10909;45.799;16.518;0.564120078;1;3;0.757321207;0.757321207
309;20230309_n491_fam_3;playback;Basking;fam;not_alone;10932;60;0;0;0;2;0.992145515;0.992145515
310;20230309_n491_fam_3;playback;Exploration;fam;not_alone;10932;0;0;0;0;2;0;2.00E-16
312;20230309_n491_fam_3;playback;Vigilance;fam;not_alone;10932;0;0;0;0;2;0;2.00E-16
321;20230309_n491_fam_6;playback;Basking;fam;not_alone;10932;54.251;-5.749;-0.095816667;0;2;0.897081439;0.897081439
322;20230309_n491_fam_6;playback;Exploration;fam;not_alone;10932;0;0;0;0;2;0;2.00E-16
324;20230309_n491_fam_6;playback;Vigilance;fam;not_alone;10932;0;0;0;0;2;0;2.00E-16
