timeline;exp_id;pb_type;alone;sex;id
before;20230318_n66_fam_3;fam;not_alone;NA;164
playback;20230318_n66_fam_3;fam;not_alone;NA;113
after;20230318_n66_fam_3;fam;not_alone;NA;171
before;20230318_n66_str_2;str;alone;F;47
playback;20230318_n66_str_2;str;alone;F;28
after;20230318_n66_str_2;str;alone;F;12
before;20230318_n66_str_4;str;not_alone;F;11
playback;20230318_n66_str_4;str;not_alone;F;326
after;20230318_n66_str_4;str;not_alone;F;131
before;20230321_n491_nbg_2;nbg;not_alone;F;0
playback;20230321_n491_nbg_2;nbg;not_alone;F;41
after;20230321_n491_nbg_2;nbg;not_alone;F;0
before;20230321_n491_nbg_4;nbg;alone;M;24
playback;20230321_n491_nbg_4;nbg;alone;M;77
after;20230321_n491_nbg_4;nbg;alone;M;4
before;20230321_n491_str_3;str;alone;F;22
playback;20230321_n491_str_3;str;alone;F;12
after;20230321_n491_str_3;str;alone;F;0
before;20230321_n491_str_5;str;alone;M;10
playback;20230321_n491_str_5;str;alone;M;14
after;20230321_n491_str_5;str;alone;M;2
before;20230321_n491_fam_1;fam;not_alone;M;0
playback;20230321_n491_fam_1;fam;not_alone;M;0
after;20230321_n491_fam_1;fam;not_alone;M;0
before;20230321_n491_fam_6;fam;alone;M;0
playback;20230321_n491_fam_6;fam;alone;M;0
after;20230321_n491_fam_6;fam;alone;M;0
before;20230322_n376_str_1;str;alone;F;21
playback;20230322_n376_str_1;str;alone;F;31
after;20230322_n376_str_1;str;alone;F;30
before;20230324_n376_fam_1;fam;alone;NA;12
playback;20230324_n376_fam_1;fam;alone;NA;19
after;20230324_n376_fam_1;fam;alone;NA;102
before;20230324_n376_fam_2;fam;alone;NA;99
playback;20230324_n376_fam_2;fam;alone;NA;16
after;20230324_n376_fam_2;fam;alone;NA;40
before;20230325_n376_str_1;str;alone;ND;4
playback;20230325_n376_str_1;str;alone;ND;38
after;20230325_n376_str_1;str;alone;ND;0
before;20230325_n376_nbg_2;nbg;alone;ND;0
playback;20230325_n376_nbg_2;nbg;alone;ND;43
after;20230325_n376_nbg_2;nbg;alone;ND;20
before;20230325_n376_str_3;str;alone;F;11
playback;20230325_n376_str_3;str;alone;F;16
after;20230325_n376_str_3;str;alone;F;15
